"sub","beta","comp","prod","roi","mod","lobe"
11,1.5665,0,1,"tri","prod","front"
12,0.3155,0,1,"tri","prod","front"
13,1.9918,0,1,"tri","prod","front"
14,1.9922,0,1,"tri","prod","front"
15,0.7732,0,1,"tri","prod","front"
16,4.1873,0,1,"tri","prod","front"
17,1.3742,0,1,"tri","prod","front"
18,-4.1709,0,1,"tri","prod","front"
19,1.4891,0,1,"tri","prod","front"
20,0.7293,0,1,"tri","prod","front"
21,2.3583,0,1,"tri","prod","front"
22,1.608,0,1,"tri","prod","front"
23,2.6469,0,1,"tri","prod","front"
24,-0.9721,0,1,"tri","prod","front"
1,2.2341,0,1,"amtg","prod","temp"
2,1.4735,0,1,"amtg","prod","temp"
3,2.8893,0,1,"amtg","prod","temp"
4,4.7479,0,1,"amtg","prod","temp"
5,4.9151,0,1,"amtg","prod","temp"
6,2.0693,0,1,"amtg","prod","temp"
7,-1.3159,0,1,"amtg","prod","temp"
8,-1.8906,0,1,"amtg","prod","temp"
9,-0.3372,0,1,"amtg","prod","temp"
10,0.8562,0,1,"amtg","prod","temp"
11,-0.4863,0,1,"amtg","prod","temp"
12,1.4601,0,1,"amtg","prod","temp"
13,0.2476,0,1,"amtg","prod","temp"
14,-0.101,0,1,"amtg","prod","temp"
15,1.7698,0,1,"amtg","prod","temp"
16,4.0507,0,1,"amtg","prod","temp"
17,-0.003,0,1,"amtg","prod","temp"
18,-4.3792,0,1,"amtg","prod","temp"
19,3.1413,0,1,"amtg","prod","temp"
20,2.53,0,1,"amtg","prod","temp"
21,-0.4732,0,1,"amtg","prod","temp"
22,1.0538,0,1,"amtg","prod","temp"
23,-0.055,0,1,"amtg","prod","temp"
24,-4.6213,0,1,"amtg","prod","temp"
